para_name,register_address,dimension,decimal
GEN_V_L1-N,40001,V,0
GEN_V_L2-N,40002,V,0
GEN_V_L3-N,40003,V,0
GEN_V_L1-L2,40005,V,0
GEN_V_L2-L3,40006,V,0
GEN_V_L3-L1,40007,V,0
GEN_I_L1,40008,A,0
GEN_I_L2,40009,A,0
GEN_I_L3,40010,A,0
GEN_RPM,40011,RPM,0
GEN_FREQ,40012,Hz,1
GEN_kW,40014,kW,0
GEN_kW_L1,40015,kW,0
GEN_kW_L2,40016,kW,0
GEN_kW_L3,40017,kW,0
GEN_NOM_kVA,40018,kVA,0
GEN_kVAr,40019,kVAr,0
GEN_KVAr_L1,40020,kVAr,0
GEN_kVAr_L2,40021,kVAr,0
GEN_kVAr_L3,40022,kVAr,0
GEN_PF,40023,UNIT,2
GEN_PF_L1,40024,UNIT,2
GEN_PF_L2,40025,UNIT,2
GEN_PF_L3,40026,UNIT,2
GEN_kVA,40032,kVA,0
GEN_kVA_L1,40033,kVA,0
GEN_kVA_L2,40034,kVA,0
GEN_kVA_L3,40035,kVA,0
GEN_E_FAULT,40048,A,2
BAT_VOLT,40051,V,1
CHR_VOLT,40053,V,1
OIL_PRESS,40054,BAR,1
ENG_TEMP,40055,DEG CELCIUS,0
FUEL_LEVEL,40056,%,0
